,UsoCrédito,Edad,30-59DíasTarde,60-89DíasTarde,90DíasTarde,RatioDeuda,IngresoMensual,LíneasCrédito,PréstamosCasa,Dependientes,score,decision,motivo_principal
1,0.88551908,43,0,0,0,0.177512717,5700.0,4,0,0.0,0.22333651449090997,Pre-concedido (Campaña),Perfil de Riesgo Bajo
2,0.463295269,57,0,0,0,0.527236928,9141.0,15,4,2.0,0.14535746274095296,Pre-concedido (Campaña),Perfil de Riesgo Bajo
3,0.043275036,59,0,0,0,0.687647522,5083.0,12,1,2.0,0.06426895392458896,Pre-concedido (Campaña),Perfil de Riesgo Bajo
4,0.280308229,38,1,0,0,0.925960637,3200.0,7,2,0.0,0.17106381505397128,Pre-concedido (Campaña),Perfil de Riesgo Bajo
5,0.9999999,27,0,0,0,0.019917227,3865.0,4,0,1.0,0.22957239199522528,Pre-concedido (Campaña),Perfil de Riesgo Bajo
6,0.509791452,63,0,0,0,0.342429365,4140.0,4,0,1.0,0.07838518367636922,Pre-concedido (Campaña),Perfil de Riesgo Bajo
7,0.587778161,50,0,0,0,1048.0,0.0,5,0,3.0,0.038872707967727856,Pre-concedido (Campaña),Perfil de Riesgo Bajo
8,0.046148938,79,1,0,0,0.3691702,3301.0,8,1,1.0,0.11550752839361055,Pre-concedido (Campaña),Perfil de Riesgo Bajo
9,0.013527027,68,0,0,0,2024.0,5400.0,4,1,0.0,0.006481511112019511,Pre-concedido (Campaña),Perfil de Riesgo Bajo
10,0.9999999,23,0,0,0,0.0,0.0,0,0,0.0,0.5468475321679315,Denegado,Exceso de uso en tarjetas
11,0.0284849,37,0,0,0,0.319686529,7400.0,8,1,1.0,0.03030226506644734,Pre-concedido (Campaña),Perfil de Riesgo Bajo
12,0.085076597,52,0,0,0,0.903552105,4250.0,6,2,0.0,0.06727591521642792,Pre-concedido (Campaña),Perfil de Riesgo Bajo
13,0.010596142,68,0,0,0,0.007782101,3854.0,16,0,0.0,0.03960045127501596,Pre-concedido (Campaña),Perfil de Riesgo Bajo
14,0.380678869,30,0,0,0,0.37744902,2500.0,12,0,1.0,0.18867696758362631,Pre-concedido (Campaña),Perfil de Riesgo Bajo
15,0.556893515,56,0,0,0,0.697347208,6822.0,14,1,1.0,0.1429829588198693,Pre-concedido (Campaña),Perfil de Riesgo Bajo
16,0.079055723,28,0,0,0,0.105831231,7133.0,8,0,0.0,0.03668136806589175,Pre-concedido (Campaña),Perfil de Riesgo Bajo
17,0.543013445,72,0,0,0,0.461786138,5900.0,10,2,1.0,0.0755408090707513,Pre-concedido (Campaña),Perfil de Riesgo Bajo
18,0.11234564,37,0,0,0,0.144326363,2916.0,7,0,0.0,0.08089874775712909,Pre-concedido (Campaña),Perfil de Riesgo Bajo
19,0.648285056,29,0,1,0,0.174850033,4500.0,4,0,1.0,0.49363990915619854,Requiere Aval / Garantía,Reforzar solvencia
20,0.686406344,43,0,0,0,487.0,5400.0,10,0,1.0,0.14593445432580487,Pre-concedido (Campaña),Perfil de Riesgo Bajo
21,0.085909749,48,0,0,0,0.19615602,8844.0,8,1,1.0,0.02924762232623732,Pre-concedido (Campaña),Perfil de Riesgo Bajo
22,0.158548716,61,0,0,0,0.353158292,11920.0,13,1,0.0,0.043954957271046834,Pre-concedido (Campaña),Perfil de Riesgo Bajo
23,0.009303162,69,0,0,0,0.384451019,6083.0,4,2,0.0,0.02057265697053789,Pre-concedido (Campaña),Perfil de Riesgo Bajo
24,0.95744175,69,2,1,1,0.666337936,3041.0,8,1,1.0,0.6077614160283825,Denegado,Exceso de uso en tarjetas
25,0.442489363,50,1,0,0,0.286554523,8500.0,17,1,2.0,0.19823240240495946,Pre-concedido (Campaña),Perfil de Riesgo Bajo
26,0.125267033,51,0,0,0,3825.0,5400.0,10,2,0.0,0.04222216148982505,Pre-concedido (Campaña),Perfil de Riesgo Bajo
27,0.9999999,45,0,0,0,0.0,4750.0,1,0,1.0,0.17815766851158768,Pre-concedido (Campaña),Perfil de Riesgo Bajo
28,0.181480656,67,0,0,0,1509.0,5400.0,12,1,0.0,0.020593939869652,Pre-concedido (Campaña),Perfil de Riesgo Bajo
29,0.729396906,34,0,0,0,0.335555259,7500.0,6,2,1.0,0.12304818814519629,Pre-concedido (Campaña),Perfil de Riesgo Bajo
30,0.024445377,47,0,0,0,5810.0,5400.0,20,2,2.0,0.058286143156118186,Pre-concedido (Campaña),Perfil de Riesgo Bajo
31,0.691411308,44,0,0,0,0.173777315,4804.0,10,0,0.0,0.1901336193749017,Pre-concedido (Campaña),Perfil de Riesgo Bajo
32,0.0,55,0,0,0,2007.0,5400.0,5,1,0.0,0.007956488559807094,Pre-concedido (Campaña),Perfil de Riesgo Bajo
33,0.0,57,0,0,0,0.212446888,4000.0,12,0,0.0,0.039281520450182135,Pre-concedido (Campaña),Perfil de Riesgo Bajo
34,0.817480149,54,0,0,0,0.13272101,4354.0,6,0,0.0,0.2672780895944588,Pre-concedido (Campaña),Perfil de Riesgo Bajo
35,1.008266866,61,4,0,0,0.261173013,8166.0,14,1,1.0,0.561778971669238,Denegado,Exceso de uso en tarjetas
36,0.423358479,49,0,0,0,0.616301423,2600.0,13,1,1.0,0.15938270028599263,Pre-concedido (Campaña),Perfil de Riesgo Bajo
37,0.282515024,32,0,0,0,0.49290142,5000.0,10,1,1.0,0.08205947198577364,Pre-concedido (Campaña),Perfil de Riesgo Bajo
38,0.14212674,56,0,0,0,4009.0,5400.0,9,2,2.0,0.032160044836513045,Pre-concedido (Campaña),Perfil de Riesgo Bajo
39,0.022738142,41,0,0,0,0.343160782,5833.0,5,1,3.0,0.049034192793270315,Pre-concedido (Campaña),Perfil de Riesgo Bajo
40,0.005893211,57,1,0,0,0.386379019,11819.0,25,4,1.0,0.0848782279223973,Pre-concedido (Campaña),Perfil de Riesgo Bajo
41,0.603509659,47,0,0,0,1.009598604,4583.0,21,12,3.0,0.4724681670330684,Requiere Aval / Garantía,Reforzar solvencia
42,0.715499066,40,2,0,0,0.642835504,3300.0,12,2,0.0,0.5695109476351297,Denegado,Historial de morosidad previa
43,0.640013926,46,0,0,0,0.854994215,2592.0,13,1,0.0,0.27960318599043205,Pre-concedido (Campaña),Perfil de Riesgo Bajo
44,0.025266165,60,0,0,0,0.348583548,6600.0,8,2,0.0,0.02485972588416929,Pre-concedido (Campaña),Perfil de Riesgo Bajo
45,0.19088468,67,1,0,0,2.994208494,1035.0,23,1,0.0,0.1039880022344908,Pre-concedido (Campaña),Perfil de Riesgo Bajo
46,0.003449175,79,0,0,0,5.0,5400.0,4,0,0.0,0.010225321924280864,Pre-concedido (Campaña),Perfil de Riesgo Bajo
